Tweet;Language;Sentiment
cristiano ronaldo lionel messi greatest footbal time;en;1
cristiano ronaldo lionel messi greatest footbal time;en;1
cristiano ronaldo lionel messi greatest footbal time;en;1
cristiano ronaldo lionel messi greatest footbal time;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
messi drink tear hater;en;0
messi drink tear hater;en;0
messi drink tear hater;en;0
messi drink tear hater;en;0
come qatar investig messi;en;0
come qatar investig messi;en;0
come qatar investig messi;en;0
come qatar investig messi;en;0
best footbal player top nation portug eusebio argentina messi germani muller brazil pele franc zidan england bobbi charlton itali paolo rossi sorri penaldo your even best portugues player time;en;0
best footbal player top nation portug eusebio argentina messi germani muller brazil pele franc zidan england bobbi charlton itali paolo rossi sorri penaldo your even best portugues player time;en;0
best footbal player top nation portug eusebio argentina messi germani muller brazil pele franc zidan england bobbi charlton itali paolo rossi sorri penaldo your even best portugues player time;en;0
best footbal player top nation portug eusebio argentina messi germani muller brazil pele franc zidan england bobbi charlton itali paolo rossi sorri penaldo your even best portugues player time;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
messi pel tranchant comparaison robot chatgpt;fr;0
messi pel tranchant comparaison robot chatgpt;fr;0
romero ask messi ronaldo reaction ye messi obvious;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
messi pel tranchant comparaison robot chatgpt;fr;0
messi pel tranchant comparaison robot chatgpt;fr;0
romero ask messi ronaldo reaction ye messi obvious;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
world champion leo messi neymar amp sergio ramo train today;en;1
world champion leo messi neymar amp sergio ramo train today;en;1
world champion leo messi neymar amp sergio ramo train today;en;1
world champion leo messi neymar amp sergio ramo train today;en;1
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
pleur messi foudroi franc;fr;0
pleur messi foudroi franc;fr;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
pleur messi foudroi franc;fr;0
pleur messi foudroi franc;fr;0
lionel messi decid continu europ amp join hilal despit offer highest salari;en;0
lionel messi decid continu europ amp join hilal despit offer highest salari;en;0
lionel messi decid continu europ amp join hilal despit offer highest salari;en;0
lionel messi decid continu europ amp join hilal despit offer highest salari;en;0
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best footbal player top nation portug eusebio argentina messi germani muller brazil pele franc zidan england bobbi charlton itali paolo rossi sorri penaldo your even best portugues player time;en;0
best footbal player top nation portug eusebio argentina messi germani muller brazil pele franc zidan england bobbi charlton itali paolo rossi sorri penaldo your even best portugues player time;en;0
feint garnacho rappel cell messi face gvardiol;fr;0
feint garnacho rappel cell messi face gvardiol;fr;0
best footbal player top nation portug eusebio argentina messi germani muller brazil pele franc zidan england bobbi charlton itali paolo rossi sorri penaldo your even best portugues player time;en;0
best footbal player top nation portug eusebio argentina messi germani muller brazil pele franc zidan england bobbi charlton itali paolo rossi sorri penaldo your even best portugues player time;en;0
feint garnacho rappel cell messi face gvardiol;fr;0
feint garnacho rappel cell messi face gvardiol;fr;0
last day think messi alway give credit anoth player score almost everyth;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
last day think messi alway give credit anoth player score almost everyth;en;0
cant call messi fan youv never wit piec histori;en;0
cant call messi fan youv never wit piec histori;en;0
cant call messi fan youv never wit piec histori;en;0
cant call messi fan youv never wit piec histori;en;0
riyadh price special ticket friendli match cristiano ronaldo alnasr club pari saintgermain psg lionel messi reach million riyal;en;1
riyadh price special ticket friendli match cristiano ronaldo alnasr club pari saintgermain psg lionel messi reach million riyal;en;1
riyadh price special ticket friendli match cristiano ronaldo alnasr club pari saintgermain psg lionel messi reach million riyal;en;1
riyadh price special ticket friendli match cristiano ronaldo alnasr club pari saintgermain psg lionel messi reach million riyal;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
wan bissaka pull messi;en;0
wan bissaka pull messi;en;0
wan bissaka pull messi;en;0
wan bissaka pull messi;en;0
averag messi fan;fr;0
averag messi fan;fr;0
look forward interview ossi ardil pele escap victori maradona messi argentina win world cup ossi win world cup spur cup win top pop tottingham join;en;1
look forward interview ossi ardil pele escap victori maradona messi argentina win world cup ossi win world cup spur cup win top pop tottingham join;en;1
averag messi fan;fr;0
